Timestamp,Location,Mode,Position,KillCount
2018/04/03 9:44:00 PM EST,D2,Solo,3,3
2018/04/03 10:02:02 PM EST,B2,Duo,1,1
2018/04/04 6:54:06 AM EST,F6,Squad,1,4
2018/04/04 8:06:25 AM EST,F7,Solo,5,12
2018/04/04 8:47:05 AM EST,I8,Solo,1,1
2018/04/04 9:59:28 AM EST,D2,Solo,3,10
2018/04/04 9:59:49 AM EST,D2,Solo,3,10
2018/04/04 2:55:46 PM EST,G6,Duo,23,1
2018/04/04 3:21:00 PM EST,D7,Duo,14,3
2018/04/04 4:27:52 PM EST,F7,Squad,2,0
2018/04/04 6:12:09 PM EST,A6,Solo,25,0
2018/04/04 7:18:14 PM EST,E3,Solo,20,1
2018/04/04 8:15:27 PM EST,D7,Squad,3,2
2018/04/04 8:31:26 PM EST,F7,Solo,3,3
2018/04/05 1:53:54 AM EST,J5,Solo,3,3
2018/04/05 2:57:33 AM EST,C3,Squad,6,2
2018/04/05 3:19:31 AM EST,J6,Solo,2,3
2018/04/05 7:20:36 AM EST,A5,Solo,1,9
2018/04/05 1:25:17 PM EST,D7,Squad,1,5
2018/04/05 1:26:28 PM EST,B3,Duo,10,0
2018/04/05 3:02:21 PM EST,D2,Solo,1,7
2018/04/05 3:02:30 PM EST,D2,Solo,1,7
2018/04/05 4:48:19 PM EST,F7,Solo,4,6
2018/04/05 5:49:26 PM EST,A8,Solo,8,11
2018/04/06 3:03:12 AM EST,H4,Solo,2,4
2018/04/06 10:46:03 AM EST,F7,Squad,10,3
2018/04/06 6:29:47 PM EST,C5,Duo,20,1
2018/04/06 11:50:35 PM EST,A5,Solo,12,4
2018/04/07 12:40:51 AM EST,D2,Solo,2,2
2018/04/07 12:57:12 AM EST,H2,Solo,1,10
2018/04/07 4:26:45 AM EST,H6,Solo,1,8
2018/04/07 9:31:39 AM EST,D5,Solo,1,12
2018/04/07 10:12:36 AM EST,C7,Solo,1,5
2018/04/07 10:19:00 AM EST,F5,Squad,1,6
2018/04/07 10:40:47 AM EST,F4,Duo,1,3
2018/04/07 2:54:03 PM EST,H8,Squad,1,3
2018/04/07 4:20:59 PM EST,C3,Solo,1,12
2018/04/07 6:30:48 PM EST,C2,Squad,1,6
2018/04/07 11:25:53 PM EST,H3,Duo,1,4
2018/04/08 6:40:40 AM EST,F2,Solo,1,14
2018/04/08 9:08:44 AM EST,B1,Solo,1,2
2018/04/08 10:04:37 AM EST,D9,Solo,6,4
2018/04/08 11:48:11 AM EST,B7,Solo,4,2
2018/04/08 12:15:30 PM EST,D9,Solo,2,2
2018/04/08 3:28:21 PM EST,A5,Solo,1,5
2018/04/08 5:03:02 PM EST,B1,Solo,6,5
2018/04/08 7:32:50 PM EST,H6,Solo,3,2
2018/04/08 7:46:02 PM EST,I8,Solo,8,5
2018/04/08 9:11:22 PM EST,C3,Squad,1,4
2018/04/09 8:26:19 AM EST,C7,Squad,1,7
2018/04/09 10:18:58 AM EST,H6,Solo,1,4
2018/04/09 5:47:03 PM EST,F4,Solo,7,4
2018/04/09 8:58:51 PM EST,E3,Solo,2,1
2018/04/09 9:54:52 PM EST,F3,Solo,13,1
2018/04/10 12:30:37 AM EST,G2,Solo,5,3
2018/04/10 12:30:43 AM EST,G2,Solo,5,3
2018/04/10 1:31:18 AM EST,H3,Solo,3,4
